operator,format,index_dtype,value_dtype,op,route,status
spmm,CSR,int32,float64,non,csr_row_tile,UNVERIFIED
spmm,CSR,int32,float64,non,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,float64,non,triton,SUPPORTED
spmm,CSR,int32,float64,non,triton_opt,SUPPORTED
spmm,CSR,int32,float64,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int32,float64,trans,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,float64,trans,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,float64,trans,csr_row_tile,UNVERIFIED
spmm,CSR,int32,float64,trans,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,float64,trans,triton,SUPPORTED
spmm,CSR,int32,float64,conj,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,float64,conj,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,float64,conj,csr_row_tile,UNVERIFIED
spmm,CSR,int32,float64,conj,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,float64,conj,triton,SUPPORTED
spmm,CSR,int32,complex64,non,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,complex64,non,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,complex64,non,csr_row_tile,UNVERIFIED
spmm,CSR,int32,complex64,non,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,complex64,non,triton,SUPPORTED
spmm,CSR,int32,complex64,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int32,complex64,trans,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,complex64,trans,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,complex64,trans,csr_row_tile,UNVERIFIED
spmm,CSR,int32,complex64,trans,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,complex64,trans,triton,SUPPORTED
spmm,CSR,int32,complex64,conj,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,complex64,conj,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,complex64,conj,csr_row_tile,UNVERIFIED
spmm,CSR,int32,complex64,conj,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,complex64,conj,triton,SUPPORTED
spmm,CSR,int32,complex128,non,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,complex128,non,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,complex128,non,csr_row_tile,UNVERIFIED
spmm,CSR,int32,complex128,non,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,complex128,non,triton,SUPPORTED
spmm,CSR,int32,complex128,non,triton_opt_alg2,SUPPORTED
spmm,CSR,int32,complex128,trans,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,complex128,trans,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,complex128,trans,csr_row_tile,UNVERIFIED
spmm,CSR,int32,complex128,trans,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,complex128,trans,triton,SUPPORTED
spmm,CSR,int32,complex128,conj,csr_adaptive_tile_split,UNVERIFIED
spmm,CSR,int32,complex128,conj,csr_row_kparallel,UNVERIFIED
spmm,CSR,int32,complex128,conj,csr_row_tile,UNVERIFIED
spmm,CSR,int32,complex128,conj,csr_split_nnz_reduce,UNVERIFIED
spmm,CSR,int32,complex128,conj,triton,SUPPORTED
spmm,CSR,int64,float16,non,triton,SUPPORTED
spmm,CSR,int64,float16,trans,triton,SUPPORTED
